-----
{
 "description": "The table refers to District wise Distribution of Dugwells in use and their Potential Created/Utilised according to Public and Private. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "dgwlState1.16.csv", 
 "title": "Download CSV for Districtwise Distribution of Dugwells in use and their Potential Created/Utilised according to Public and Private", 
 "url": "http://data.gov.in/sites/default/files/dgwlState1.16.csv"
}
-----
"State","District","No. in use - Public","No. in use - Private","No. in use - Total","Potential created (Ha) - Public","Potential created (Ha) - Private","Potential created (Ha) - Total","Potential utilised (Ha) - Public","Potential utilised (Ha) - Private","Potential utilised (Ha) - Total"
"MAHARASHTRA","RAIGHAR",118,4480,4598,2,1790,1791,2,1771,1773
"MAHARASHTRA","RATNAGIRI",14,2717,2731,49,3051,3100,41,1770,1810
"MAHARASHTRA","SANGLI",1008,71837,72845,2353,174844,177197,1642,163079,164721
"MAHARASHTRA","SATARA",0,75482,75482,0,181019,181019,0,153777,153777
"MAHARASHTRA","SINDHUDURGA",114,4754,4868,243,6869,7112,136,4499,4635
"MAHARASHTRA","SOLAPUR",866,118227,119093,2671,301422,304094,1774,190252,192027
"MAHARASHTRA","THANE",1,6059,6060,3,9148,9152,3,8575,8579
"MAHARASHTRA","WARDHA",99,35138,35237,1100,89574,90674,210,50415,50625
"MAHARASHTRA","WASHIM",0,18538,18538,0,49469,49469,0,44215,44215
"MAHARASHTRA","YAVATMAL",1,34796,34797,1,89359,89360,1,67354,67355
"MANIPUR","IMPHAL WEST",3,0,3,39,0,39,15,0,15
"MEGHALAYA","JAINTIA HILLS",0,11,11,0,23,23,0,19,19
"NAGALAND","DIMAPUR",0,121,121,0,352,352,0,243,243
"NAGALAND","MOKOKCHUNG",0,4,4,0,5,5,0,3,3
"ORISSA","ANGUL",154,25062,25216,35,7006,7041,20,3531,3551
